lang,layer,config1,config2,spearman,kendall,precision@k,jaccard@k,rbo
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.1307142857142857,0.0918367346938775,0.32,0.1904761904761904,0.2121451279478097
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/dev,0.2100840336134453,0.1461224489795918,0.32,0.1904761904761904,0.2068284962329531
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.5555555555555555,0.4215384615384615,0.08,0.0416666666666666,0.0114087142431043
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9611145408898216,0.8392009987515606,0.92,0.8518518518518519,0.9288419758853456
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,-0.0714285714285714,-0.0476190476190476,0.0,0.0,3.777750612562702e-05
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.1956830095590502,0.1400966183574879,0.34,0.2048192771084337,0.2550534403782075
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,-0.380952380952381,-0.2857142857142857,0.0,0.0,3.4649526559149846e-05
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/dev,0.2503256621797655,0.175531914893617,0.36,0.2195121951219512,0.2679129914199561
en,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.3107692307692307,0.2066666666666666,0.08,0.0416666666666666,0.0113398225296674
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.5,0.3333333333333333,0.0,0.0,5.114724883917899e-06
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,0.5,0.3333333333333333,0.0,0.0,3.1067968846707546e-06
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,1.0,1.0,0.0,0.0,3.352750733791094e-05
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.5688545688545689,0.3968253968253968,0.38,0.2345679012345679,0.4674755254658437
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/dev,0.5128851540616247,0.3445378151260504,0.32,0.1904761904761904,0.4301033710101548
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.2502463054187192,0.167487684729064,0.36,0.2195121951219512,0.0256322540348999
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
