lang,consistency_spearman,consistency_kendall,consistency_precision@k,consistency_jaccard@k,consistency_rbo
en,0.28875835601546485,0.2247884600183784,0.15142857142857144,0.11206534591306679,0.12477578803069536
de,0.42102587777517286,0.31969151169748306,0.21333333333333335,0.15678978569629645,0.15609410128695472
ru,0.9918300653594772,0.96078431372549,0.4803921568627451,0.46296296296296297,0.3941974594948099
it,0.9959861339171684,0.9682539682539684,0.43333333333333335,0.38888888888888884,0.36665693383590076
tr,0.988095238095238,0.9492063492063493,0.38888888888888884,0.3333333333333333,0.30894090949856307
es,0.9952327865371343,0.9570207570207571,0.4666666666666666,0.43939393939393945,0.4334573649633902
pt,1.0,1.0,0.35714285714285715,0.3,0.14118670238095238
fr,0.9626642245782113,0.8711250435388367,0.4666666666666666,0.43939393939393945,0.45505317671784556
zh,0.9965367965367965,0.9762329174093881,0.4523809523809524,0.4166666666666667,0.4618750807833916
ko,0.9999999999999999,1.0,1.0,1.0,0.12999999999999998
hi,0.9972658920027341,0.9757575757575759,0.47333333333333333,0.4506172839506173,0.478037358652877
ja,0.9950783204640147,0.9547698678133459,0.47333333333333333,0.4506172839506173,0.39626847867327325
