lang,layer,config1,config2,spearman,kendall,precision@k,jaccard@k,rbo
ru,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
ru,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
ru,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
ru,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9877450980392157,0.9411764705882352,0.9411764705882353,0.8888888888888888,0.7659782869827626
ru,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,1.0,0.9999999999999999,1.0,1.0,0.833228183003334
ru,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.9877450980392157,0.9411764705882352,0.9411764705882353,0.8888888888888888,0.7659782869827626
it,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
it,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
it,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
it,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9939792008757526,0.9523809523809524,0.8,0.6666666666666666,0.6138772209798871
it,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,1.0,1.0,1.0,1.0,0.9721871610556305
it,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.9939792008757526,0.9523809523809524,0.8,0.6666666666666666,0.6138772209798871
tr,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.0,0.0,0.0,0.0,0.0
tr,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,-0.9999999999999999,-1.0,0.0,0.0,0.0
tr,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.0,0.0,0.0,0.0,0.0
tr,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.982142857142857,0.9238095238095239,0.6666666666666666,0.5,0.4711374190939517
tr,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,1.0,1.0,1.0,1.0,0.9113706188034749
tr,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.982142857142857,0.9238095238095239,0.6666666666666666,0.5,0.4711374190939517
es,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
es,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
es,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
es,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9928491798057016,0.9355311355311355,0.9,0.8181818181818182,0.8003853755896146
es,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
es,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.9928491798057016,0.9355311355311355,0.9,0.8181818181818182,0.8003853755896146
pt,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
pt,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
pt,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
pt,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,1.0,0.9999999999999999,0.5714285714285714,0.4,0.16270855714285712
pt,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,1.0,1.0,1.0,1.0,0.5217031
pt,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,1.0,0.9999999999999999,0.5714285714285714,0.4,0.16270855714285712
fr,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
fr,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
fr,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
fr,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9439963368673171,0.806687565308255,0.9,0.8181818181818182,0.8651728108529806
fr,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
fr,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.9439963368673171,0.806687565308255,0.9,0.8181818181818182,0.8651728108529806
