lang,config1,config2,spearman,kendall,precision@k,jaccard@k,rbo
en,flores-en-de/devtest,flores_plus/devtest,0.1307142857142857,0.09183673469387753,0.32,0.19047619047619047,0.21214512794780976
en,flores-en-de/devtest,flores_plus/dev,0.21008403361344538,0.1461224489795918,0.32,0.19047619047619047,0.2068284962329531
en,flores-en-de/devtest,flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
en,flores-en-de/devtest,flores_plus-en-de/dev,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
en,flores_plus/devtest,flores_plus/dev,0.9611145408898217,0.8392009987515606,0.92,0.8518518518518519,0.9288419758853456
en,flores_plus/devtest,flores_plus-en-de/devtest,0.1307142857142857,0.09183673469387753,0.32,0.19047619047619047,0.21214512794780976
en,flores_plus/devtest,flores_plus-en-de/dev,0.19568300955905027,0.14009661835748793,0.34,0.20481927710843373,0.2550534403782075
en,flores_plus/dev,flores_plus-en-de/devtest,0.21008403361344538,0.1461224489795918,0.32,0.19047619047619047,0.2068284962329531
en,flores_plus/dev,flores_plus-en-de/dev,0.25032566217976554,0.17553191489361705,0.36,0.21951219512195122,0.26791299141995617
en,flores_plus-en-de/devtest,flores_plus-en-de/dev,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
de,flores-en-de/devtest,flores_plus/devtest,0.5688545688545689,0.39682539682539686,0.38,0.2345679012345679,0.46747552546584376
de,flores-en-de/devtest,flores_plus/dev,0.5128851540616247,0.3445378151260504,0.32,0.19047619047619047,0.43010337101015483
de,flores-en-de/devtest,flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
de,flores-en-de/devtest,flores_plus-en-de/dev,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
de,flores_plus/devtest,flores_plus/dev,0.9970471633629527,0.9684210526315791,0.92,0.8518518518518519,0.8523984447843986
de,flores_plus/devtest,flores_plus-en-de/devtest,0.5688545688545689,0.39682539682539686,0.38,0.2345679012345679,0.46747552546584376
de,flores_plus/devtest,flores_plus-en-de/dev,0.5631917631917632,0.39047619047619053,0.36,0.21951219512195122,0.3376676792731361
de,flores_plus/dev,flores_plus-en-de/devtest,0.5128851540616247,0.3445378151260504,0.32,0.19047619047619047,0.43010337101015483
de,flores_plus/dev,flores_plus-en-de/dev,0.5157894736842106,0.3360323886639676,0.36,0.21951219512195122,0.37370403039691447
de,flores_plus-en-de/devtest,flores_plus-en-de/dev,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
ru,flores_plus/devtest,flores_plus/dev,0.9877450980392157,0.9411764705882352,0.9411764705882353,0.8888888888888888,0.7659782869827626
it,flores_plus/devtest,flores_plus/dev,0.9939792008757526,0.9523809523809524,0.8,0.6666666666666666,0.6138772209798871
tr,flores_plus/devtest,flores_plus/dev,0.982142857142857,0.9238095238095239,0.6666666666666666,0.5,0.4711374190939517
es,flores_plus/devtest,flores_plus/dev,0.9928491798057016,0.9355311355311355,0.9,0.8181818181818182,0.8003853755896146
pt,flores_plus/devtest,flores_plus/dev,1.0,0.9999999999999999,0.5714285714285714,0.4,0.16270855714285712
fr,flores_plus/devtest,flores_plus/dev,0.9439963368673171,0.806687565308255,0.9,0.8181818181818182,0.8651728108529806
zh,flores_plus/devtest,flores_plus/dev,0.9948051948051948,0.9643493761140822,0.8571428571428571,0.75,0.8938368439843055
ko,flores_plus/devtest,flores_plus/dev,,,1.0,1.0,0.09999999999999998
hi,flores_plus/devtest,flores_plus/dev,0.9958988380041012,0.9636363636363637,0.92,0.8518518518518519,0.9349207305935928
ja,flores_plus/devtest,flores_plus/dev,0.9926174806960221,0.9321548017200191,0.92,0.8518518518518519,0.6888187167192638
